,rank,brand,name,price
81,82,투썸플레이스,"""생기가득 딸기 세트"" 떠먹는 딸기 레어 치즈 + 아메리카노 Regular","10,000"
82,83,투썸플레이스,"""윈터 판타지"" 20Xmas 떠먹는 케이크 기프트 세트","32,000"
83,84,투썸플레이스,"""윈터 판타지"" 20Xmas 뉴욕 치즈","35,000"
84,85,스타벅스,아이스 자몽 허니 블랙 티 Tall,"5,300"
85,86,이디야커피,5천원권,"5,000"
86,87,투썸플레이스,"""윈터 판타지"" 20Xmas 믹스드베리초콜릿생크림","32,000"
87,88,스타벅스,"""Good Luck"" 7 레이어 가나슈 케이크 + 자몽 허니 블랙 티 Tall","11,000"
88,89,투썸플레이스,"""윈터 판타지"" 20Xmas 퀸즈 캐롯","34,000"
89,90,이디야커피,카페아메리카노 HOT,"3,200"
90,91,투썸플레이스,아메리카노 (R),"4,100"
91,92,스타벅스,"""간편한 한끼 세트"" 고소한 치즈 베이글+카페 라떼 T","7,400"
92,93,투썸플레이스,리얼 생크림 2호,"29,000"
93,94,투썸플레이스,"""윈터 판타지"" 20Xmas 블랙베리 샤를로뜨","36,000"
94,95,투썸플레이스,마카롱(6개입),"14,500"
95,96,투썸플레이스,"""베리 초코해"" 떠먹는 스트로베리 초콜릿 생크림 + 모카칩 커피 프라페 (R) 2잔","16,900"
96,97,투썸플레이스,"""윈터 판타지"" 20Xmas 그뤼에르 치즈 무스","32,000"
97,98,공차,디지털 상품권 2만원권,"20,000"
98,99,이디야커피,3만원권,"30,000"
99,100,투썸플레이스,"""커피가 필요한 순간"" 벨지안 가나슈 피스 + 아메리카노 Regular + 라떼 Regular","14,600"
